px-x px-y   scale       angle
3024 2130 0.5071850781 -207.342
3024 2130 0.4964228125 -207.085
3024 2130 0.492530625 -208.381
3023 2129 0.49273625 -206.369
3023 2129 0.4926628125 -206.951
3021 2130 0.4922589063 -206.786
3014 2132 0.4922185156 133.425
3005 2137 0.4923103125 77.616
2996 2147 0.4923507031 64.83
2989 2160 0.4922625781 65.027
2985 2177 0.4919798438 64.229
2984 2196 0.4922038281 61.485
2984 2215 0.4926444531 63.088
2987 2235 0.4928757813 62.693
2991 2256 0.4929749219 62.625
2998 2278 0.4931548438 61.897
3006 2301 0.4932907031 61.987
3015 2324 0.4931475 62.14
3025 2346 0.4933825 62.503
3034 2367 0.4933457813 62.547
3044 2386 0.4931144531 62.237
3054 2403 0.4931585156 62.417
3065 2418 0.4932099219 62.124
3075 2433 0.4930924219 61.963
3086 2449 0.4930042969 62.15
3096 2468 0.4927399219 62.529
3106 2489 0.4924755469 62.484
3116 2514 0.4925526563 62.014
3127 2541 0.4925122656 62.181
3138 2570 0.4927252344 62.14
3149 2600 0.4928096875 61.27
3160 2630 0.4924902344 62.804
3171 2659 0.4924094531 62.193
3181 2687 0.4927325781 62.386
3191 2710 0.4928794531 62.275
3201 2732 0.493118125 62.573
3210 2753 0.4930042969 62.464
3220 2773 0.4927876563 62.546
3229 2795 0.4928464063 56.73
3240 2817 0.4925746875 46.0215
3252 2840 0.4923323438 40.224
3267 2862 0.4922552344 33.0885
3285 2883 0.4922846094 27.1798
3305 2903 0.4921083594 25.1665
3325 2921 0.4923176563 15.8999
3344 2936 0.4916677344 6.7191
3362 2948 0.4922589063 1.9489
3380 2957 0.4923103125 1.315
3398 2964 0.4923874219 3.288
3415 2969 0.4926701563 7.6618
3433 2974 0.4926260938 10.9732
3451 2979 0.4927472656 11.4953
3470 2983 0.4925636719 14.1188
3488 2988 0.4924975781 18.0551
3504 2992 0.4926995313 24.6417
3521 2997 0.49308875 29.4671
3537 3005 0.4932246094 33.9983
3551 3014 0.4933751563 37.1234
3565 3024 0.4935440625 37.9477
